servicio,propiedad,cuenta,debito_tc,tarjeta,evidencia,pago_mp,notas
Metrogas,CIUDAD,30010996459,SI,BBVA Visa Signature (METROGAS SA DEB),Ene-Jun 2026 en resúmenes Visa,A veces,Débito automático TC
Edenor,CIUDAD,8917502309,SI,BBVA Visa Signature,Ene-Jun 2026 Visa,NO,Sanes
Edenor,OHIGGINS,9267222037,SI,BBVA Visa Signature,Mar-Jun 2026 Visa,NO,Chagas
Telecentro,CIUDAD,3491192,SI,BBVA Visa Signature,30-Jun-26 $31999 (único en estos resúmenes),RARO,Confirmado TC jun
Metrogas,OHIGGINS,10139236800,NO,—,No en Visa/Master BBVA 2026,SI,
Edesur,BONORINO,3932799,NO,—,No en Visa/Master BBVA 2026,SI,
Personal,OHIGGINS,—,NO,—,No en TC; pago directo MP,SI,
