plan,anio_grant,valor_nominal_usd,precio_accion_otorgamiento,tramo_anual_usd,estado,notas
LTRP 2022,2022,30000,1391.81,5000,vigente,Últimos cobros ene-2027 y ene-2028
LTRP 2023,2023,30000,888.69,5000,vigente,Cobros ene-2027 a ene-2029
LTRP 2024,2024,30000,1426.11,5000,vigente,Cobros ene-2027 a ene-2030
LTRP 2025,2025,36822,1944.47,6137,vigente,Cobros ene-2027 a ene-2031
LTRP 2026,2026,70000,2094.65,11666.6666666667,vigente,6 cobros ene-2027…ene-2032 · recién en 2032 se completa la totalidad del plan otorgado en 2026
