SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
166572223982;available_money;SETTLEMENT;-330.00;2026-06-30T19:52:31.000-04:00;0.00;2026-06-30T19:52:31.000-04:00;-330.00;0.00;Mercado Pago;QR;2026-06-30T19:52:31.000-04:00
165582422449;available_money;SETTLEMENT;-12900.00;2026-06-29T21:17:36.000-04:00;0.00;2026-06-30T17:56:28.000-04:00;-12900.00;0.00;;;2026-06-30T17:56:28.000-04:00
165660938847;available_money;SETTLEMENT;-100779.00;2026-06-30T12:29:32.000-04:00;0.00;2026-06-30T12:29:35.000-04:00;-100779.00;0.00;Mercado Pago;Wallet;2026-07-08T11:36:38.000-04:00
1745998051341;;SETTLEMENT;4571.82;2026-06-29T23:30:11.000-04:00;0.00;2026-06-29T23:30:11.000-04:00;4571.82;0.00;;;
1745998051341;;SETTLEMENT;9.33;2026-06-29T23:30:11.000-04:00;0.00;2026-06-29T23:30:11.000-04:00;9.33;0.00;;;
1745998051341;;SETTLEMENT;39.30;2026-06-29T23:30:11.000-04:00;0.00;2026-06-29T23:30:11.000-04:00;39.30;0.00;;;
1745998051341;;SETTLEMENT;124.47;2026-06-29T23:30:11.000-04:00;0.00;2026-06-29T23:30:11.000-04:00;124.47;0.00;;;
