TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TAX_DETAIL;STORE_ID;PAY_BANK_TRANSFER_ID;USER_ID;TRANSACTION_CURRENCY
2026-02-18T12:40:57.000-04:00;2026-02-20T20:34:23.000-04:00;2026-02-20T20:34:23.000-04:00;146774045766;available_money;SETTLEMENT;-6090.00;;;available_money;;;;75592789;ARS
2026-02-20T16:18:20.000-04:00;2026-02-20T16:52:31.000-04:00;2026-02-20T16:18:20.000-04:00;146389366031;available_money;SETTLEMENT;-18500.00;;;available_money;;;;75592789;ARS
2026-02-20T16:28:43.000-04:00;2026-02-20T16:51:17.000-04:00;2026-02-20T16:28:44.000-04:00;147090641038;available_money;SETTLEMENT;-9600.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-20T14:29:47.000-04:00;2026-02-20T14:29:51.000-04:00;2026-02-20T14:29:50.000-04:00;147073814818;available_money;SETTLEMENT;-67245.13;Mercado Pago;Wallet;available_money;;;;75592789;ARS
2026-02-14T20:01:04.000-04:00;2026-02-20T01:45:03.000-04:00;2026-02-20T01:45:02.000-04:00;145640598143;available_money;SETTLEMENT;-6780.00;;;available_money;;;;75592789;ARS
2026-02-19T23:45:14.000-04:00;2026-02-19T23:45:14.000-04:00;;1740053197986;;SETTLEMENT;3006.58;;;;;;;75592789;ARS
2026-02-19T15:53:57.000-04:00;2026-02-19T15:53:58.000-04:00;2026-02-19T15:53:58.000-04:00;146936004102;available_money;SETTLEMENT;-6500.00;;;available_money;;;;75592789;ARS
2026-02-19T10:13:00.000-04:00;2026-02-19T10:13:13.000-04:00;2026-03-10T15:27:33.000-04:00;146894016322;credit_card;SETTLEMENT;98000.00;Mercado Libre;;visa;;;;75592789;ARS
2026-02-19T01:32:11.000-04:00;2026-02-19T01:32:11.000-04:00;;1739995986500;;SETTLEMENT;2724.46;;;;;;;75592789;ARS
2026-02-18T15:15:21.000-04:00;2026-02-18T15:15:22.000-04:00;2026-02-18T15:15:21.000-04:00;146094488081;available_money;SETTLEMENT;-37334.39;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-18T13:16:35.000-04:00;2026-02-18T13:16:36.000-04:00;2026-03-08T12:22:35.000-04:00;146081153411;available_money;SETTLEMENT;-2703.00;Mercado Pago;Checkout Pro;available_money;;;;75592789;ARS
2026-02-18T09:57:49.000-04:00;2026-02-18T09:57:49.000-04:00;2026-03-14T09:00:35.000-04:00;146054472945;available_money;SETTLEMENT;-2590.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-18T01:59:57.000-04:00;2026-02-18T01:59:57.000-04:00;;1739926834710;;SETTLEMENT;16076.06;;;;;;;75592789;ARS
2026-02-17T22:20:00.000-04:00;2026-02-17T22:20:00.000-04:00;2026-02-17T22:20:00.000-04:00;146702925994;available_money;SETTLEMENT;-30000.00;;;available_money;;;;75592789;ARS
